Gene A Standard Name,Gene B Standard Name,Experiment,Interaction Type,Annotation Type,Gene A Interaction Role,Interaction Method,PubMed ID,Reference,Human Homolog A,Human Homolog B
TPK1,GZF3,"Ptacek J, et al. (2005)-16319894-Biochemical Activity",physical,high-throughput,Bait,Biochemical Activity,16319894,"Ptacek J, et al. (2005) Global analysis of protein phosphorylation in yeast. Nature 438(7068):679-84",5592,7227
YPK3,TOR1,"Yerlikaya S, et al. (2016)-26582391-Biochemical Activity",physical,manually curated,Hit,Biochemical Activity,26582391,"Yerlikaya S, et al. (2016) TORC1 and TORC2 work together to regulate ribosomal protein S6 phosphorylation in Saccharomyces cerevisiae. Mol Biol Cell 27(2):397-409",8986,23049
ATG1,HCA4,"Ptacek J, et al. (2005)-16319894-Biochemical Activity",physical,high-throughput,Bait,Biochemical Activity,16319894,"Ptacek J, et al. (2005) Global analysis of protein phosphorylation in yeast. Nature 438(7068):679-84",3551,1662
PKC1,STV1,"Wang Y, et al. (2012)-22875988-Two-hybrid",physical,high-throughput,Bait,Two-hybrid,22875988,"Wang Y, et al. (2012) Coiled-coil networking shapes cell molecular machinery. Mol Biol Cell 23(19):3911-22",5590,23545
HOG1,RCK2,"Teige M, et al. (2001)-11344302-Biochemical Activity",physical,manually curated,Bait,Biochemical Activity,11344302,"Teige M, et al. (2001) Rck2, a member of the calmodulin-protein kinase family, links protein synthesis to high osmolarity MAP kinase signaling in budding yeast. Proc Natl Acad Sci U S A 98(10):5625-30",5599,7867
RFA1,SGS1,"Piya G, et al. (2015)-25719602-Two-hybrid",physical,manually curated,Bait,Two-hybrid,25719602,"Piya G, et al. (2015) Characterization of the interaction between Rfa1 and Rad24 in Saccharomyces cerevisiae. PLoS One 10(2):e0116512",6117,9400
SST2,BNR1,"Burchett SA, et al. (2002)-11940600-Two-hybrid",physical,manually curated,Bait,Two-hybrid,11940600,"Burchett SA, et al. (2002) Regulation of stress response signaling by the N-terminal dishevelled/EGL-10/pleckstrin domain of Sst2, a regulator of G protein signaling in Saccharomyces cerevisiae. J Biol Chem 277(25):22156-67",5998,29109
NFI1,POB3,"Srikumar T, et al. (2013)-23712011-Affinity Capture-MS",physical,high-throughput,Bait,Affinity Capture-MS,23712011,"Srikumar T, et al. (2013) A global S. cerevisiae small ubiquitin-related modifier (SUMO) system interactome. Mol Syst Biol 9:668",9063,9760
CLA4,SWE1,"Sakchaisri K, et al. (2004)-15037762-Biochemical Activity",physical,manually curated,Bait,Biochemical Activity,15037762,"Sakchaisri K, et al. (2004) Coupling morphogenesis to mitotic entry. Proc Natl Acad Sci U S A 101(12):4124-9",9943,149420
MRX10,CCR4,"Miller JE, et al. (2018)-29158339-Affinity Capture-RNA",physical,high-throughput,Hit,Affinity Capture-RNA,29158339,"Miller JE, et al. (2018) Genome-Wide Mapping of Decay Factor-mRNA Interactions in Yeast Identifies Nutrient-Responsive Transcripts as Targets of the Deadenylase Ccr4. G3 (Bethesda) 8(1):315-330",55005,57472
RPC10,RPB11,"Mosley AL, et al. (2009)-19394294-Affinity Capture-MS",physical,manually curated,Hit,Affinity Capture-MS,19394294,"Mosley AL, et al. (2009) Rtr1 is a CTD phosphatase that regulates RNA polymerase II during the transition from serine 5 to serine 2 phosphorylation. Mol Cell 34(2):168-78",5440,5439
RGA2,CDC24,"McCusker D, et al. (2007)-17417630-Affinity Capture-Western",physical,manually curated,Hit,Affinity Capture-Western,17417630,"McCusker D, et al. (2007) Cdk1 coordinates cell-surface growth with the cell cycle. Nat Cell Biol 9(5):506-15",2909,50649
HEK2,CPA1,"Hasegawa Y, et al. (2008)-18805955-Affinity Capture-RNA",physical,high-throughput,Bait,Affinity Capture-RNA,18805955,"Hasegawa Y, et al. (2008) Distinct roles for Khd1p in the localization and expression of bud-localized mRNAs in yeast. RNA 14(11):2333-47",57060,1373
YOX1,HEK2,"Hasegawa Y, et al. (2008)-18805955-Affinity Capture-RNA",physical,high-throughput,Hit,Affinity Capture-RNA,18805955,"Hasegawa Y, et al. (2008) Distinct roles for Khd1p in the localization and expression of bud-localized mRNAs in yeast. RNA 14(11):2333-47",3224,57060
VAM6,UBR1,"González Montoro A, et al. (2018)-29870720-Affinity Capture-MS",physical,manually curated,Bait,Affinity Capture-MS,29870720,"González Montoro A, et al. (2018) Vps39 Interacts with Tom40 to Establish One of Two Functionally Distinct Vacuole-Mitochondria Contact Sites. Dev Cell 45(5):621-636.e7",9392,130507
CDC42,RGA1,"Stevenson BJ, et al. (1995)-7498791-Two-hybrid",physical,manually curated,Hit,Two-hybrid,7498791,"Stevenson BJ, et al. (1995) Mutation of RGA1, which encodes a putative GTPase-activating protein for the polarity-establishment protein Cdc42p, activates the pheromone-response pathway in the yeast Saccharomyces cerevisiae. Genes Dev 9(23):2949-63",5879,394
SMY1,MYO1,"Wang Y, et al. (2012)-22875988-Two-hybrid",physical,high-throughput,Bait,Two-hybrid,22875988,"Wang Y, et al. (2012) Coiled-coil networking shapes cell molecular machinery. Mol Biol Cell 23(19):3911-22",55083,4624
HTA2,CIC1,"Lambert JP, et al. (2009)-19106085-Affinity Capture-MS",physical,high-throughput,Bait,Affinity Capture-MS,19106085,"Lambert JP, et al. (2009) A novel proteomics approach for the discovery of chromatin-associated protein networks. Mol Cell Proteomics 8(4):870-82",8330,26156
SAK1,GPA1,"Clement ST, et al. (2013)-24003255-Biochemical Activity",physical,manually curated,Bait,Biochemical Activity,24003255,"Clement ST, et al. (2013) Regulation of yeast G protein signaling by the kinases that activate the AMPK homolog Snf1. Sci Signal 6(291):ra78",10645,2775
BNI1,HSP26,"Miao Y, et al. (2013)-24133141-Reconstituted Complex",physical,high-throughput,Bait,Reconstituted Complex,24133141,"Miao Y, et al. (2013) Cell-cycle regulation of formin-mediated actin cable assembly. Proc Natl Acad Sci U S A 110(47):E4446-55",64423,26353
TOK1,HOG1,Proft M and Struhl K (2004)-15294160-Affinity Capture-Western,physical,manually curated,Bait,Affinity Capture-Western,15294160,Proft M and Struhl K (2004) MAP kinase-mediated stress relief that precedes and regulates the timing of transcriptional induction. Cell 118(3):351-61,9424,5600
TEF1,ALD6,"Gavin AC, et al. (2006)-16429126-Affinity Capture-MS",physical,high-throughput,Hit,Affinity Capture-MS,16429126,"Gavin AC, et al. (2006) Proteome survey reveals modularity of the yeast cell machinery. Nature 440(7084):631-6",1915,220
MYO1,ACT1,"Gavin AC, et al. (2006)-16429126-Affinity Capture-MS",physical,high-throughput,Bait,Affinity Capture-MS,16429126,"Gavin AC, et al. (2006) Proteome survey reveals modularity of the yeast cell machinery. Nature 440(7084):631-6",4626,71
RHO1,PKC1,"Nomura W, et al. (2017)-28065784-Affinity Capture-Western",physical,manually curated,Bait,Affinity Capture-Western,28065784,"Nomura W, et al. (2017) Role of phosphatidylserine in the activation of Rho1-related Pkc1 signaling in Saccharomyces cerevisiae. Cell Signal 31:146-153",27289,29941
MXR2,NAB2,"Batisse J, et al. (2009)-19840948-Affinity Capture-RNA",physical,high-throughput,Hit,Affinity Capture-RNA,19840948,"Batisse J, et al. (2009) Purification of nuclear poly(A)-binding protein Nab2 reveals association with the yeast transcriptome and a messenger ribonucleoprotein core structure. J Biol Chem 284(50):34911-7",22921,79882
PKC1,EDE1,"Breitkreutz A, et al. (2010)-20489023-Affinity Capture-MS",physical,high-throughput,Bait,Affinity Capture-MS,20489023,"Breitkreutz A, et al. (2010) A global protein kinase and phosphatase interaction network in yeast. Science 328(5981):1043-6",5578,6453
RPL24A,ARX1,"Lebreton A, et al. (2008)-18658244-Affinity Capture-Western",physical,manually curated,Bait,Affinity Capture-Western,18658244,"Lebreton A, et al. (2008) 60S ribosomal subunit assembly dynamics defined by semi-quantitative mass spectrometry of purified complexes. Nucleic Acids Res 36(15):4988-99",6152,7512
NOP4,UTP20,"Grandi P, et al. (2002)-12150911-Affinity Capture-MS",physical,high-throughput,Bait,Affinity Capture-MS,12150911,"Grandi P, et al. (2002) 90S pre-ribosomes include the 35S pre-rRNA, the U3 snoRNP, and 40S subunit processing factors but predominantly lack 60S synthesis factors. Mol Cell 10(1):105-15",8761,27340
TPK1,CDC25,"Deminoff SJ, et al. (2006)-16751660-Biochemical Activity",physical,manually curated,Bait,Biochemical Activity,16751660,"Deminoff SJ, et al. (2006) Using substrate-binding variants of the cAMP-dependent protein kinase to identify novel targets and a kinase domain important for substrate interactions in Saccharomyces cerevisiae. Genetics 173(4):1909-17",27330,266747
HXT1,PMC1,"Tarassov K, et al. (2008)-18467557-PCA",physical,high-throughput,Hit,PCA,18467557,"Tarassov K, et al. (2008) An in vivo map of the yeast protein interactome. Science 320(5882):1465-70",29988,490
ARC15,VRP1,"Tarassov K, et al. (2008)-18467557-PCA",physical,high-throughput,Bait,PCA,18467557,"Tarassov K, et al. (2008) An in vivo map of the yeast protein interactome. Science 320(5882):1465-70",10092,147179
SNU114,SME1,"Gavin AC, et al. (2002)-11805826-Affinity Capture-MS",physical,high-throughput,Hit,Affinity Capture-MS,11805826,"Gavin AC, et al. (2002) Functional organization of the yeast proteome by systematic analysis of protein complexes. Nature 415(6868):141-7",9343,6635
SSA1,RTT107,"Roberts TM, et al. (2006)-16267268-Affinity Capture-MS",physical,manually curated,Hit,Affinity Capture-MS,16267268,"Roberts TM, et al. (2006) Slx4 regulates DNA damage checkpoint-dependent phosphorylation of the BRCT domain protein Rtt107/Esc4. Mol Biol Cell 17(1):539-48",3310,22976
SEC7,ESA1,"Mitchell L, et al. (2013)-23572591-Affinity Capture-MS",physical,high-throughput,Hit,Affinity Capture-MS,23572591,"Mitchell L, et al. (2013) mChIP-KAT-MS, a method to map protein interactions and acetylation sites for lysine acetyltransferases. Proc Natl Acad Sci U S A 110(17):E1641-50",10564,84148
ADE16,SSB1,"Gong Y, et al. (2009)-19536198-Affinity Capture-MS",physical,high-throughput,Bait,Affinity Capture-MS,19536198,"Gong Y, et al. (2009) An atlas of chaperone-protein interactions in Saccharomyces cerevisiae: implications to protein folding pathways in the cell. Mol Syst Biol 5:275",471,3310
EFT1,ALD6,"Gavin AC, et al. (2006)-16429126-Affinity Capture-MS",physical,high-throughput,Hit,Affinity Capture-MS,16429126,"Gavin AC, et al. (2006) Proteome survey reveals modularity of the yeast cell machinery. Nature 440(7084):631-6",1938,8854
EFT2,IXR1,"Barreiro-Alonso A, et al. (2018)-29438513-Affinity Capture-MS",physical,high-throughput,Hit,Affinity Capture-MS,29438513,"Barreiro-Alonso A, et al. (2018) The HMGB protein Ixr1 interacts with Ssn8 and Tdh3 involved in transcriptional regulation. FEMS Yeast Res 18(2)",1938,3431
GTS1,SSA1,"Truman AW, et al. (2015)-25452130-Affinity Capture-MS",physical,high-throughput,Hit,Affinity Capture-MS,25452130,"Truman AW, et al. (2015) Quantitative proteomics of the yeast Hsp70/Hsp90 interactomes during DNA damage reveal chaperone-dependent regulation of ribonucleotide reductase. J Proteomics 112:285-300",55803,3305
HHF2,HHT2,"Mosammaparast N, et al. (2002)-11694505-Affinity Capture-Western",physical,manually curated,Hit,Affinity Capture-Western,11694505,"Mosammaparast N, et al. (2002) Pathways mediating the nuclear import of histones H3 and H4 in yeast. J Biol Chem 277(1):862-8",8366,126961
GTS1,PHO85,"Dephoure N, et al. (2005)-16330754-Biochemical Activity",physical,manually curated,Hit,Biochemical Activity,16330754,"Dephoure N, et al. (2005) Combining chemical genetics and proteomics to identify protein kinase substrates. Proc Natl Acad Sci U S A 102(50):17940-5",116987,1020
HTA1,HTB1,"Luk E, et al. (2010)-21111233-Reconstituted Complex",physical,manually curated,Bait,Reconstituted Complex,21111233,"Luk E, et al. (2010) Stepwise histone replacement by SWR1 requires dual activation with histone H2A.Z and canonical nucleosome. Cell 143(5):725-36",3014,3017
MDL1,MDL1,"Janas E, et al. (2003)-12746444-Reconstituted Complex",physical,manually curated,Hit,Reconstituted Complex,12746444,"Janas E, et al. (2003) The ATP hydrolysis cycle of the nucleotide-binding domain of the mitochondrial ATP-binding cassette transporter Mdl1p. J Biol Chem 278(29):26862-9",6891,23456
RTR1,RPB8,"Mosley AL, et al. (2009)-19394294-Affinity Capture-MS",physical,manually curated,Hit,Affinity Capture-MS,19394294,"Mosley AL, et al. (2009) Rtr1 is a CTD phosphatase that regulates RNA polymerase II during the transition from serine 5 to serine 2 phosphorylation. Mol Cell 34(2):168-78",79871,5437
SWI5,PHO2,Bhoite LT and Stillman DJ (1998)-9774660-Reconstituted Complex,physical,manually curated,Bait,Reconstituted Complex,9774660,Bhoite LT and Stillman DJ (1998) Residues in the Swi5 zinc finger protein that mediate cooperative DNA binding with the Pho2 homeodomain protein. Mol Cell Biol 18(11):6436-46,128209,3211
YTA7,HHT1,"Gradolatto A, et al. (2008)-18493054-Reconstituted Complex",physical,manually curated,Bait,Reconstituted Complex,18493054,"Gradolatto A, et al. (2008) Saccharomyces cerevisiae Yta7 regulates histone gene expression. Genetics 179(1):291-304",54454,8290
HHT2,GCN5,"Chimenti F, et al. (2009)-19099397-Biochemical Activity",physical,manually curated,Hit,Biochemical Activity,19099397,"Chimenti F, et al. (2009) A novel histone acetyltransferase inhibitor modulating Gcn5 network: cyclopentylidene-[4-(4'-chlorophenyl)thiazol-2-yl)hydrazone. J Med Chem 52(2):530-6",8356,8850
PHO2,HHT2,"Gilmore JM, et al. (2012)-22199229-Affinity Capture-MS",physical,high-throughput,Hit,Affinity Capture-MS,22199229,"Gilmore JM, et al. (2012) Characterization of a highly conserved histone related protein, Ydl156w, and its functional associations using quantitative proteomic analyses. Mol Cell Proteomics 11(4):M111.011544",3199,8355
RRP5,HHT2,"Gilmore JM, et al. (2012)-22199229-Affinity Capture-MS",physical,high-throughput,Hit,Affinity Capture-MS,22199229,"Gilmore JM, et al. (2012) Characterization of a highly conserved histone related protein, Ydl156w, and its functional associations using quantitative proteomic analyses. Mol Cell Proteomics 11(4):M111.011544",22984,8350
MCM10,PRI2,Ricke RM and Bielinsky AK (2004)-15494305-Affinity Capture-Western,physical,manually curated,Bait,Affinity Capture-Western,15494305,Ricke RM and Bielinsky AK (2004) Mcm10 regulates the stability and chromatin association of DNA polymerase-alpha. Mol Cell 16(2):173-85,55388,5558
DIA4,RGA1,"Wang Y, et al. (2012)-22875988-Two-hybrid",physical,high-throughput,Bait,Two-hybrid,22875988,"Wang Y, et al. (2012) Coiled-coil networking shapes cell molecular machinery. Mol Biol Cell 23(19):3911-22",54938,55114
CDC28,PHO2,"Liu C, et al. (2000)-10884387-Biochemical Activity",physical,manually curated,Bait,Biochemical Activity,10884387,"Liu C, et al. (2000) Regulation of the yeast transcriptional factor PHO2 activity by phosphorylation. J Biol Chem 275(41):31972-8",1019,3226
SSB2,MOB1,"Willmund F, et al. (2013)-23332755-Co-purification",physical,high-throughput,Bait,Co-purification,23332755,"Willmund F, et al. (2013) The cotranslational function of ribosome-associated Hsp70 in eukaryotic protein homeostasis. Cell 152(1-2):196-209",6782,81532
HTB1,HHF1,"Krogan NJ, et al. (2006)-16554755-Affinity Capture-MS",physical,high-throughput,Bait,Affinity Capture-MS,16554755,"Krogan NJ, et al. (2006) Global landscape of protein complexes in the yeast Saccharomyces cerevisiae. Nature 440(7084):637-43",8349,8365
TFG2,NHP6A,Xue X and Lehming N (2008)-18448120-PCA,physical,manually curated,Hit,PCA,18448120,Xue X and Lehming N (2008) Nhp6p and Med3p regulate gene expression by controlling the local subunit composition of RNA polymerase II. J Mol Biol 379(2):212-30,2963,7343
ADH7,BBC1,"Krogan NJ, et al. (2006)-16554755-Affinity Capture-MS",physical,high-throughput,Hit,Affinity Capture-MS,16554755,"Krogan NJ, et al. (2006) Global landscape of protein complexes in the yeast Saccharomyces cerevisiae. Nature 440(7084):637-43",9540,23550
RGA2,CDC24,"Breitkreutz A, et al. (2010)-20489023-Affinity Capture-MS",physical,high-throughput,Hit,Affinity Capture-MS,20489023,"Breitkreutz A, et al. (2010) A global protein kinase and phosphatase interaction network in yeast. Science 328(5981):1043-6",647135,9459
HHT1,HTA1,"Gallego LD, et al. (2016)-27601672-Reconstituted Complex",physical,manually curated,Hit,Reconstituted Complex,27601672,"Gallego LD, et al. (2016) Structural mechanism for the recognition and ubiquitination of a single nucleosome residue by Rad6-Bre1. Proc Natl Acad Sci U S A 113(38):10553-8",8358,3013
RSM18,MRP4,"Krogan NJ, et al. (2006)-16554755-Affinity Capture-MS",physical,high-throughput,Bait,Affinity Capture-MS,16554755,"Krogan NJ, et al. (2006) Global landscape of protein complexes in the yeast Saccharomyces cerevisiae. Nature 440(7084):637-43",51023,51116
CDC28,YOX1,"Kõivomägi M, et al. (2013)-24186061-Biochemical Activity",physical,manually curated,Bait,Biochemical Activity,24186061,"Kõivomägi M, et al. (2013) Multisite phosphorylation networks as signal processors for Cdk1. Nat Struct Mol Biol 20(12):1415-24",983,3229
ROD1,RVB1,"Lakshminarasimhan M, et al. (2016)-26831523-Affinity Capture-MS",physical,high-throughput,Hit,Affinity Capture-MS,26831523,"Lakshminarasimhan M, et al. (2016) Proteomic and Genomic Analyses of the Rvb1 and Rvb2 Interaction Network upon Deletion of R2TP Complex Components. Mol Cell Proteomics 15(3):960-74",57561,8607
RIO2,RPS11A,"Gavin AC, et al. (2006)-16429126-Affinity Capture-MS",physical,high-throughput,Bait,Affinity Capture-MS,16429126,"Gavin AC, et al. (2006) Proteome survey reveals modularity of the yeast cell machinery. Nature 440(7084):631-6",23300,6205
SNF1,YPK2,"Ho Y, et al. (2002)-11805837-Affinity Capture-MS",physical,high-throughput,Hit,Affinity Capture-MS,11805837,"Ho Y, et al. (2002) Systematic identification of protein complexes in Saccharomyces cerevisiae by mass spectrometry. Nature 415(6868):180-3",5562,10000
TPK3,YPT7,"Ho Y, et al. (2002)-11805837-Affinity Capture-MS",physical,high-throughput,Bait,Affinity Capture-MS,11805837,"Ho Y, et al. (2002) Systematic identification of protein complexes in Saccharomyces cerevisiae by mass spectrometry. Nature 415(6868):180-3",5566,23682
RPL7A,TOM1,"Sung MK, et al. (2016)-27552055-Affinity Capture-MS",physical,high-throughput,Hit,Affinity Capture-MS,27552055,"Sung MK, et al. (2016) A conserved quality-control pathway that mediates degradation of unassembled ribosomal proteins. Elife 5",6129,57531
RAD51,RAD51,"Jiang H, et al. (1996)-8969173-Two-hybrid",physical,manually curated,Hit,Two-hybrid,8969173,"Jiang H, et al. (1996) Direct association between the yeast Rad51 and Rad54 recombination proteins. J Biol Chem 271(52):33181-6",5890,5888
SCH9,SSB2,"Willmund F, et al. (2013)-23332755-Co-purification",physical,high-throughput,Hit,Co-purification,23332755,"Willmund F, et al. (2013) The cotranslational function of ribosome-associated Hsp70 in eukaryotic protein homeostasis. Cell 152(1-2):196-209",5588,3303
HHT2,HTB1,"Piro AS, et al. (2012)-22699496-Affinity Capture-Western",physical,manually curated,Hit,Affinity Capture-Western,22699496,"Piro AS, et al. (2012) Small region of Rtf1 protein can substitute for complete Paf1 complex in facilitating global histone H2B ubiquitylation in yeast. Proc Natl Acad Sci U S A 109(27):10837-42",8355,8346
ACT1,ARP4,"Galarneau L, et al. (2000)-10911987-Affinity Capture-Western",physical,manually curated,Hit,Affinity Capture-Western,10911987,"Galarneau L, et al. (2000) Multiple links between the NuA4 histone acetyltransferase complex and epigenetic control of transcription. Mol Cell 5(6):927-37",440915,139741
DBP2,HEK2,"Gavin AC, et al. (2002)-11805826-Affinity Capture-MS",physical,high-throughput,Hit,Affinity Capture-MS,11805826,"Gavin AC, et al. (2002) Functional organization of the yeast proteome by systematic analysis of protein complexes. Nature 415(6868):141-7",11325,5094
TPK1,FRA1,"Ptacek J, et al. (2005)-16319894-Biochemical Activity",physical,high-throughput,Bait,Biochemical Activity,16319894,"Ptacek J, et al. (2005) Global analysis of protein phosphorylation in yeast. Nature 438(7068):679-84",5566,5036
CDC3,CDC12,"Frazier JA, et al. (1998)-9813094-Co-purification",physical,manually curated,Bait,Co-purification,9813094,"Frazier JA, et al. (1998) Polymerization of purified yeast septins: evidence that organized filament arrays may not be required for septin function. J Cell Biol 143(3):737-49",23176,151011
EMP24,YRA1,"Krogan NJ, et al. (2006)-16554755-Affinity Capture-MS",physical,high-throughput,Bait,Affinity Capture-MS,16554755,"Krogan NJ, et al. (2006) Global landscape of protein complexes in the yeast Saccharomyces cerevisiae. Nature 440(7084):637-43",353376,10189
BEM2,ALK2,"Breitkreutz A, et al. (2010)-20489023-Affinity Capture-MS",physical,high-throughput,Hit,Affinity Capture-MS,20489023,"Breitkreutz A, et al. (2010) A global protein kinase and phosphatase interaction network in yeast. Science 328(5981):1043-6",57584,83903
MSB3,VPS21,Albert S and Gallwitz D (1999)-10559187-Biochemical Activity,physical,manually curated,Bait,Biochemical Activity,10559187,Albert S and Gallwitz D (1999) Two new members of a family of Ypt/Rab GTPase activating proteins. Promiscuity of substrate recognition. J Biol Chem 274(47):33186-9,83874,5869
HHF1,RSC58,"Chatterjee N, et al. (2011)-21749977-Reconstituted Complex",physical,manually curated,Bait,Reconstituted Complex,21749977,"Chatterjee N, et al. (2011) Histone H3 tail acetylation modulates ATP-dependent remodeling through multiple mechanisms. Nucleic Acids Res 39(19):8378-91",8360,2019
CDC24,STE4,"Butty AC, et al. (1998)-9822386-Two-hybrid",physical,manually curated,Hit,Two-hybrid,9822386,"Butty AC, et al. (1998) The role of Far1p in linking the heterotrimeric G protein to polarity establishment proteins during yeast mating. Science 282(5393):1511-6",57580,2783
PKC1,CKI1,"Dey P, et al. (2017)-28154205-Biochemical Activity",physical,manually curated,Bait,Biochemical Activity,28154205,"Dey P, et al. (2017) Phosphorylation of lipid metabolic enzymes by yeast protein kinase C requires phosphatidylserine and diacylglycerol. J. Lipid Res. 58(4):742-751",5580,1120
RTG3,RTG1,"Krogan NJ, et al. (2006)-16554755-Affinity Capture-MS",physical,high-throughput,Bait,Affinity Capture-MS,16554755,"Krogan NJ, et al. (2006) Global landscape of protein complexes in the yeast Saccharomyces cerevisiae. Nature 440(7084):637-43",7030,7942
TIF4632,PAB1,"Melamed D, et al. (2015)-25671604-Two-hybrid",physical,manually curated,Hit,Two-hybrid,25671604,"Melamed D, et al. (2015) Combining natural sequence variation with high throughput mutational data to reveal protein interaction sites. PLoS Genet 11(2):e1004918",57409,26986
HHT2,HHT2,"Tarassov K, et al. (2008)-18467557-PCA",physical,high-throughput,Hit,PCA,18467557,"Tarassov K, et al. (2008) An in vivo map of the yeast protein interactome. Science 320(5882):1465-70",8353,8358
HMLALPHA2,MCM1,Tan S and Richmond TJ (1998)-9490409-Co-crystal Structure,physical,manually curated,Hit,Co-crystal Structure,9490409,Tan S and Richmond TJ (1998) Crystal structure of the yeast MATalpha2/MCM1/DNA ternary complex. Nature 391(6668):660-6,4212,6722
HHT2,SNT2,"Singh RK, et al. (2012)-22570702-Affinity Capture-Western",physical,manually curated,Hit,Affinity Capture-Western,22570702,"Singh RK, et al. (2012) Novel E3 ubiquitin ligases that regulate histone protein levels in the budding yeast Saccharomyces cerevisiae. PLoS One 7(5):e36295",440093,8028
CDC28,CRN1,"Miao Y, et al. (2016)-27068241-Biochemical Activity",physical,manually curated,Bait,Biochemical Activity,27068241,"Miao Y, et al. (2016) Fimbrin phosphorylation by metaphase Cdk1 regulates actin cable dynamics in budding yeast. Nat Commun 7:11265",1017,11151
HHF2,STE6,"Gilmore JM, et al. (2012)-22199229-Affinity Capture-MS",physical,high-throughput,Bait,Affinity Capture-MS,22199229,"Gilmore JM, et al. (2012) Characterization of a highly conserved histone related protein, Ydl156w, and its functional associations using quantitative proteomic analyses. Mol Cell Proteomics 11(4):M111.011544",8360,85320
PAB1,PAB1,"Brandariz-Núñez A, et al. (2018)-28986506-Protein-RNA",physical,manually curated,Hit,Protein-RNA,28986506,"Brandariz-Núñez A, et al. (2018) Sbp1 modulates the translation of Pab1 mRNA in a poly(A)- and RGG-dependent manner. RNA 24(1):43-55",8761,26986
RPL28,RQC1,"Brandman O, et al. (2012)-23178123-Affinity Capture-MS",physical,manually curated,Hit,Affinity Capture-MS,23178123,"Brandman O, et al. (2012) A ribosome-bound quality control complex triggers degradation of nascent peptides and signals translation stress. Cell 151(5):1042-54",6157,22980
PHO4,PHO2,Komeili A and O'Shea EK (1999)-10320381-Reconstituted Complex,physical,manually curated,Bait,Reconstituted Complex,10320381,Komeili A and O'Shea EK (1999) Roles of phosphorylation sites in regulating activity of the transcription factor Pho4. Science 284(5416):977-80,79365,3239
TIF4631,TIF2,"Berset C, et al. (2003)-12810920-Affinity Capture-Western",physical,manually curated,Bait,Affinity Capture-Western,12810920,"Berset C, et al. (2003) RNA-binding activity of translation initiation factor eIF4G1 from Saccharomyces cerevisiae. RNA 9(7):871-80",1982,1974
CDC53,GRR1,"Willems AR, et al. (1999)-10582239-Affinity Capture-Western",physical,manually curated,Hit,Affinity Capture-Western,10582239,"Willems AR, et al. (1999) SCF ubiquitin protein ligases and phosphorylation-dependent proteolysis. Philos Trans R Soc Lond B Biol Sci 354(1389):1533-50",8450,26235
LAC1,LAG1,"Ito T, et al. (2001)-11283351-Two-hybrid",physical,high-throughput,Hit,Two-hybrid,11283351,"Ito T, et al. (2001) A comprehensive two-hybrid analysis to explore the yeast protein interactome. Proc Natl Acad Sci U S A 98(8):4569-74",253782,253782
HSP82,GLN1,"Girstmair H, et al. (2019)-31399574-Affinity Capture-MS",physical,high-throughput,Bait,Affinity Capture-MS,31399574,"Girstmair H, et al. (2019) The Hsp90 isoforms from S. cerevisiae differ in structure, function and client range. Nat Commun 10(1):3626",7184,51557
SCH9,CST6,"Pohlers S, et al. (2017)-28143980-Biochemical Activity",physical,manually curated,Bait,Biochemical Activity,28143980,"Pohlers S, et al. (2017) Lipid Signaling via Pkh1/2 Regulates Fungal CO2 Sensing through the Kinase Sch9. MBio 8(1)",5581,3725
CDC24,CDC42,"Bose I, et al. (2001)-11113154-Affinity Capture-Western",physical,manually curated,Hit,Affinity Capture-Western,11113154,"Bose I, et al. (2001) Assembly of scaffold-mediated complexes containing Cdc42p, the exchange factor Cdc24p, and the effector Cla4p required for cell cycle-regulated phosphorylation of Cdc24p. J Biol Chem 276(10):7176-86",121512,391
SSB2,THR4,"Willmund F, et al. (2013)-23332755-Co-purification",physical,high-throughput,Bait,Co-purification,23332755,"Willmund F, et al. (2013) The cotranslational function of ribosome-associated Hsp70 in eukaryotic protein homeostasis. Cell 152(1-2):196-209",6782,55258
BMH1,HHT2,"Walter W, et al. (2008)-18268010-Protein-peptide",physical,manually curated,Hit,Protein-peptide,18268010,"Walter W, et al. (2008) 14-3-3 interaction with histone H3 involves a dual modification pattern of phosphoacetylation. Mol Cell Biol 28(8):2840-9",2810,126961
HHT1,HTA1,"Cucinotta CE, et al. (2019)-31226204-Affinity Capture-Western",physical,manually curated,Hit,Affinity Capture-Western,31226204,"Cucinotta CE, et al. (2019) The nucleosome acidic patch directly interacts with subunits of the Paf1 and FACT complexes and controls chromatin architecture in vivo. Nucleic Acids Res 47(16):8410-8423",8357,92815
HSP82,CDC37,"Zhao R, et al. (2005)-15766533-Affinity Capture-MS",physical,high-throughput,Bait,Affinity Capture-MS,15766533,"Zhao R, et al. (2005) Navigating the chaperone network: an integrative map of physical and genetic interactions mediated by the hsp90 chaperone. Cell 120(5):715-27",10131,11140
NAM7,TMA108,"Delaveau T, et al. (2016)-27580715-Affinity Capture-MS",physical,high-throughput,Hit,Affinity Capture-MS,27580715,"Delaveau T, et al. (2016) Tma108, a putative M1 aminopeptidase, is a specific nascent chain-associated protein in Saccharomyces cerevisiae. Nucleic Acids Res 44(18):8826-8841",4343,64167
TOP1,HHT2,"Masumoto H, et al. (2005)-16015338-Affinity Capture-Western",physical,manually curated,Bait,Affinity Capture-Western,16015338,"Masumoto H, et al. (2005) A role for cell-cycle-regulated histone H3 lysine 56 acetylation in the DNA damage response. Nature 436(7048):294-8",116447,3021
